brand,view_users,cart_users,purchase_users,purchase_events,revenue,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
apple,729319,81931,46884,142858,111199495.7,0.11233904505435893,0.5722376145781206,0.06428462716589037
samsung,935464,119305,71858,172878,46402037.35,0.12753564006738902,0.6023050165542098,0.07681535580204049
xiaomi,470832,43364,22624,56609,9192640.24,0.09210079178985285,0.5217230882759893,0.048051109525265916
Unknown,980943,9606,4357,58301,8540682.38,0.009792617919695639,0.4535706849885488,0.004441644417667489
huawei,234061,19014,11334,23499,4883104.73,0.08123523355022835,0.5960870937204166,0.0484232742746549
acer,87586,4744,2353,6880,3575715.69,0.05416390747379718,0.49599494097807756,0.026865024090608088
lg,145762,6973,3389,8725,3387360.91,0.04783825688451036,0.48601749605621686,0.023250229826703803
lucente,145492,0,0,11576,3123438.96,0.0,,0.0
sony,122111,5127,2367,6729,2478196.68,0.041986389432565455,0.46167349327091867,0.019384003079165678
oppo,114818,9091,5671,10887,2412033.98,0.0791774808827884,0.6238037619623804,0.04939121043738787
lenovo,69962,1533,777,4578,1752638.53,0.02191189502872988,0.5068493150684932,0.01110602898716446
indesit,73437,3463,1701,5024,1250060.95,0.04715606574342634,0.4911926075656945,0.023162710895052903
bosch,142152,3867,1802,5705,1248729.09,0.02720327536721256,0.4659943108352728,0.01267657155720637
hp,70618,1530,702,3596,1227215.99,0.021665864227250843,0.4588235294117647,0.009940808292503328
artel,89692,3296,1729,6123,1033967.33,0.03674798198278553,0.5245752427184466,0.019277081568032824
asus,48427,1211,531,1850,970019.39,0.02500671113221963,0.4384805945499587,0.010964957564994734
beko,68382,2978,1384,3959,963517.46,0.04354947208329677,0.46474143720617866,0.020239244245561696
haier,61064,3192,1408,3071,891854.66,0.052273025022926765,0.44110275689223055,0.02305777544870955
dauscher,90864,1052,422,3530,608428.04,0.011577742560309913,0.4011406844106464,0.004644303574572988
canon,19989,624,285,1091,561658.1900000001,0.031217169443193755,0.4567307692307692,0.014257841812997149
cordiant,119818,3500,1650,10551,517641.21,0.02921096997112287,0.4714285714285714,0.013770885843529352
