category_code,view_users,cart_users,purchase_users,purchase_events,revenue,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
electronics.smartphone,1300070,198021,120283,337979,157033913.97,0.15231564454221697,0.6074254750758757,0.09252040274754436
Unknown,1514526,51759,25968,173411,22922165.08,0.03417504882715781,0.5017098475627427,0.01714595853752263
computers.notebook,129207,7462,3834,15588,8978883.42,0.0577522889626723,0.5138032699008309,0.02967331491327869
electronics.video.tv,170044,16641,8786,21561,8422119.38,0.09786290607136976,0.5279730785409531,0.05166897979346522
electronics.clocks,211922,9469,4883,17903,4817089.04,0.04468153377185946,0.5156827542507129,0.02304149639961873
appliances.kitchen.washer,132028,9939,5212,16146,4658223.46,0.07527948616960038,0.5243988328805715,0.03947647468718757
appliances.kitchen.refrigerators,131602,6472,3067,11218,3830077.01,0.0491785839120986,0.4738875154511743,0.023305116943511495
electronics.audio.headphone,213948,22450,11811,30501,3538807.17,0.10493203956101482,0.5261024498886414,0.055205003084861745
appliances.environment.vacuum,119925,8513,4869,12378,1716425.41,0.07098603293725245,0.571948784212381,0.04060037523452158
electronics.tablet,58730,4091,2200,5602,1610917.41,0.06965775583177251,0.5377658274260572,0.03745956070151541
computers.desktop,71851,1804,787,3232,1116821.98,0.025107514161250365,0.4362527716186253,0.010953222641299356
furniture.living_room.sofa,45765,0,0,1083,569565.8099999999,0.0,,0.0
auto.accessories.player,80415,754,397,4646,523165.86,0.009376360131816204,0.5265251989389921,0.00493688988372816
computers.peripherals.printer,23785,1797,999,2496,493880.08,0.07555181837292411,0.5559265442404007,0.042001261299138115
furniture.living_room.cabinet,53883,0,0,1887,452398.4,0.0,,0.0
appliances.sewing_machine,24316,1180,618,1939,404356.03,0.04852771837473269,0.523728813559322,0.025415364369139663
furniture.bedroom.bed,78982,482,234,2165,375758.69,0.00610265630143577,0.4854771784232365,0.002962700362107822
kids.carriage,30394,519,271,2281,370673.42,0.01707573863262486,0.5221579961464354,0.008916233467131671
apparel.shoes,126760,0,0,4255,366486.97,0.0,,0.0
auto.accessories.alarm,42410,1942,1112,2441,335979.32,0.04579108700778119,0.572605561277034,0.026220231077576043
electronics.audio.subwoofer,50036,214,103,3348,300022.08,0.004276920617155648,0.48130841121495327,0.0020585178671356625
appliances.kitchen.oven,29362,943,495,2335,299130.61,0.03211634084871603,0.5249204665959704,0.01685852462366324
appliances.environment.water_heater,23744,1812,1018,2774,290985.54,0.07631401617250674,0.5618101545253863,0.04287398921832884
appliances.kitchen.microwave,35935,2537,1474,3708,289598.89,0.07059969389174899,0.5810011824990146,0.04101850563517462
auto.accessories.videoregister,50482,1407,704,2375,272614.34,0.02787132047066281,0.5003553660270078,0.013945564755754526
construction.tools.saw,23864,1020,542,1820,264484.32,0.04274220583305397,0.5313725490196078,0.02271203486423064
appliances.kitchen.dishwasher,13685,474,201,640,255547.27,0.034636463280964556,0.4240506329113924,0.014687614176105224
computers.components.videocards,13976,221,69,836,243589.3,0.015812821980538065,0.31221719457013575,0.0049370349170005726
construction.tools.drill,37784,1786,862,2790,230588.81,0.04726868515773872,0.4826427771556551,0.022813889477027314
computers.peripherals.monitor,13618,516,240,1035,228858.29,0.037891026582464384,0.46511627906976744,0.017623733294169483
appliances.iron,29626,2194,1265,3652,223607.2,0.07405657193006143,0.5765724703737466,0.04269898062512658
electronics.audio.acoustic,25308,343,140,888,205951.27,0.013553026710921448,0.40816326530612246,0.005531847637110795
