analysis_type,time_dimension,time_value,view_users,cart_users,purchase_users,purchase_events,revenue,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate,day_order
funnel_cohort,hour,0,27066,1918,1010,4018,1132190.78,0.070863814,0.526590198,0.03731619,
funnel_cohort,hour,1,52409,3917,1981,7044,1832671.01,0.074739072,0.505744192,0.037798851,
funnel_cohort,hour,2,93969,8658,4804,19505,5744124.52,0.092136769,0.554862555,0.051123243,
funnel_cohort,hour,3,125799,13931,8276,33203,9844272.3,0.110740149,0.594070777,0.065787486,
funnel_cohort,hour,4,148246,17623,10658,43567,13126992.47,0.118876732,0.604777847,0.071894014,
funnel_cohort,hour,5,161421,20045,12137,48165,14741635.65,0.124178391,0.605487653,0.075188482,
funnel_cohort,hour,6,172153,21696,13166,50893,15932651.87,0.126027429,0.606839971,0.076478481,
funnel_cohort,hour,7,177773,22315,13501,50563,16021786.94,0.125525248,0.605019045,0.075945166,
funnel_cohort,hour,8,178928,22407,13590,50480,16088474.03,0.125229142,0.606506895,0.075952338,
funnel_cohort,hour,9,173396,22045,13362,49589,15561365.12,0.127136727,0.606123838,0.077060601,
funnel_cohort,hour,10,168582,20957,12579,47574,15076933.71,0.124313391,0.60022904,0.074616507,
funnel_cohort,hour,11,162632,19788,11722,42818,13555237.29,0.121673471,0.59237922,0.072076836,
funnel_cohort,hour,12,161297,18743,11024,40195,12748946.27,0.116201789,0.588166249,0.06834597,
funnel_cohort,hour,13,175157,19215,11037,39696,12185918.1,0.109701582,0.574395004,0.063012041,
funnel_cohort,hour,14,187580,19393,10954,40024,11979632.85,0.103385222,0.564842985,0.058396418,
funnel_cohort,hour,15,195474,19809,11037,39498,11687806.46,0.101338285,0.557170983,0.056462752,
funnel_cohort,hour,16,188816,19006,10483,37870,11100690.2,0.100658842,0.551562664,0.055519659,
funnel_cohort,hour,17,158861,15877,8700,33309,10098071.26,0.099942717,0.547962461,0.054764857,
funnel_cohort,hour,18,135274,11860,6517,25702,8206123.03,0.087673906,0.549494098,0.048176294,
funnel_cohort,hour,19,77763,7560,4243,16247,5406645.12,0.097218472,0.561243386,0.054563224,
funnel_cohort,hour,20,41911,4383,2520,9755,3244787.25,0.10457875,0.574948665,0.060127413,
funnel_cohort,hour,21,25350,2636,1526,6209,2232279.07,0.103984221,0.578907436,0.060197239,
funnel_cohort,hour,22,16450,1626,902,3505,1217774.34,0.098844985,0.554735547,0.054832827,
funnel_cohort,hour,23,15823,1356,759,3278,1147864.15,0.085698035,0.559734513,0.047968148,
funnel_cohort,day_of_week,Monday,340979,33271,19354,65340,19893983.03,0.097574924,0.581707794,0.056760094,1
funnel_cohort,day_of_week,Tuesday,561019,68758,40890,185358,59591106.11,0.122559129,0.594694436,0.072885232,2
funnel_cohort,day_of_week,Wednesday,509541,57022,34004,133718,41760234.79,0.111908561,0.596331241,0.066734571,3
funnel_cohort,day_of_week,Thursday,447195,47714,28071,105229,32868267.35,0.106696184,0.588317894,0.062771274,4
funnel_cohort,day_of_week,Friday,418129,50970,29415,103223,31368366.35,0.121900179,0.577104179,0.070349103,5
funnel_cohort,day_of_week,Saturday,372903,41137,23193,79132,23681259.6,0.110315551,0.563799013,0.062195799,6
funnel_cohort,day_of_week,Sunday,372364,37892,21561,70707,20751656.56,0.101760643,0.569011929,0.05790302,7
purchase_activity,hour,0,,,2197,2949,980317.85,,,,
purchase_activity,hour,1,,,4346,5526,1577532.87,,,,
purchase_activity,hour,2,,,10878,13968,3873027.44,,,,
purchase_activity,hour,3,,,22056,29632,8696837.45,,,,
purchase_activity,hour,4,,,30638,41143,12064072.73,,,,
purchase_activity,hour,5,,,35740,48068,14398553.24,,,,
purchase_activity,hour,6,,,38451,52002,15808753.76,,,,
purchase_activity,hour,7,,,39581,53404,16338607.12,,,,
purchase_activity,hour,8,,,40689,55195,17058580.92,,,,
purchase_activity,hour,9,,,40172,55182,17551669.73,,,,
purchase_activity,hour,10,,,38244,51902,16361933.71,,,,
purchase_activity,hour,11,,,35383,47311,15082588.07,,,,
purchase_activity,hour,12,,,31663,41840,13238529.07,,,,
purchase_activity,hour,13,,,29924,39135,12363944.23,,,,
purchase_activity,hour,14,,,28633,37363,11476514.59,,,,
purchase_activity,hour,15,,,28605,37632,11039895.72,,,,
purchase_activity,hour,16,,,26830,35772,10636257.46,,,,
purchase_activity,hour,17,,,22858,30872,9395005.91,,,,
purchase_activity,hour,18,,,17230,24321,7968696.06,,,,
purchase_activity,hour,19,,,11583,16747,5761335.06,,,,
purchase_activity,hour,20,,,6791,9892,3504661.41,,,,
purchase_activity,hour,21,,,4226,6278,2350810.75,,,,
purchase_activity,hour,22,,,2634,3837,1409146.3,,,,
purchase_activity,hour,23,,,1969,2802,995941.18,,,,
purchase_activity,day_of_week,Monday,,,63268,96059,30158469.47,,,,1
purchase_activity,day_of_week,Tuesday,,,75047,114502,36093986.02,,,,2
purchase_activity,day_of_week,Wednesday,,,77902,119154,37064086.24,,,,3
purchase_activity,day_of_week,Thursday,,,74131,113660,35850982.11,,,,4
purchase_activity,day_of_week,Friday,,,68058,102995,31729266.61,,,,5
purchase_activity,day_of_week,Saturday,,,64697,96175,29128868.23,,,,6
purchase_activity,day_of_week,Sunday,,,67556,100228,29907553.95,,,,7
